red_StrikesLandedPerMin,red_StrikesAbsorbedPerMin,red_TakedownsPer15Min,red_OpponentTakedownsPer15Min,red_SubmissionsPer15Min,red_ControlPer15Min,red_StrikingAccuracyPct,red_StrikeDefencePct,red_TakedownAccuracyPct,red_TakedownDefencePct,blue_StrikesLandedPerMin,blue_StrikesAbsorbedPerMin,blue_TakedownsPer15Min,blue_OpponentTakedownsPer15Min,blue_SubmissionsPer15Min,blue_ControlPer15Min,blue_StrikingAccuracyPct,blue_StrikeDefencePct,blue_TakedownAccuracyPct,blue_TakedownDefencePct,red_Height,red_Weight,red_Reach,blue_Height,blue_Weight,blue_Reach,red_Elo,blue_Elo,red_Age,blue_Age,red_Stance_Nan,red_Stance_Open Stance,red_Stance_Orthodox,red_Stance_Sideways,red_Stance_Southpaw,red_Stance_Switch,blue_Stance_Nan,blue_Stance_Open Stance,blue_Stance_Orthodox,blue_Stance_Sideways,blue_Stance_Southpaw,blue_Stance_Switch
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1.42,2.63,3.37,0.51,1.35,289.5,44.21,51.55,37.74,57.14,70.0,145.0,75.0,70.0,145.0,72.0,1000.0,1100.39,27.0,32.0,False,False,False,False,False,True,False,False,False,False,True,False
2.17,4.73,5.81,3.49,0.0,258.14,57.14,43.52,100.0,50.0,2.46,3.28,3.07,3.07,0.0,227.3,80.0,38.46,100.0,50.0,64.0,115.0,65.0,63.0,115.0,63.0,942.0,942.0,24.0,36.0,False,False,True,False,False,False,False,False,False,False,True,False
2.28,2.93,2.59,0.62,0.98,400.75,48.1,49.43,41.18,28.57,4.43,3.33,4.0,1.0,0.0,214.5,53.63,56.9,53.33,77.78,65.0,125.0,63.0,63.0,115.0,63.0,1073.21,1099.33,27.0,30.0,False,False,True,False,False,False,False,False,True,False,False,False
2.5,22.5,0.0,0.0,0.0,0.0,40.0,14.29,0.0,100.0,0.77,12.39,0.0,5.81,0.0,0.0,33.33,13.51,0.0,0.0,70.0,170.0,70.0,72.0,170.0,73.0,945.56,975.43,34.0,36.0,False,False,True,False,False,False,False,False,True,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,2.58,1.9,0.76,4.55,0.76,292.54,42.86,62.69,33.33,36.84,,145.0,,69.0,145.0,73.0,1000.0,1202.73,26.0,31.0,True,False,False,False,False,False,False,False,True,False,False,False
3.31,3.78,6.98,3.05,0.0,487.5,51.82,40.91,53.33,50.0,2.4,4.63,1.33,1.33,0.67,79.39,45.0,45.26,66.67,88.24,65.0,135.0,69.0,70.0,135.0,72.0,1063.38,1112.63,29.0,30.0,False,False,True,False,False,False,False,False,True,False,False,False
2.7,2.07,1.19,1.79,1.19,434.5,50.0,45.26,66.67,76.92,1.3,1.89,2.29,1.89,0.99,343.35,39.17,44.34,21.1,38.71,69.0,170.0,71.0,66.0,170.0,68.0,985.86,1096.72,37.0,35.0,False,False,False,False,True,False,False,False,True,False,False,False
5.07,2.39,2.99,0.0,0.0,143.28,48.11,68.0,50.0,100.0,3.18,2.76,0.91,1.14,0.0,143.79,42.17,57.9,27.12,79.38,73.0,185.0,76.0,73.0,185.0,74.0,1128.4,1272.95,28.0,34.0,False,False,False,False,False,True,False,False,True,False,False,False
4.24,3.03,0.52,3.88,0.78,91.73,39.94,62.31,15.38,37.5,2.12,2.2,0.0,6.82,1.14,22.73,43.08,45.28,0.0,33.33,71.0,170.0,73.0,71.0,170.0,76.0,1129.39,1028.22,30.0,31.0,False,False,True,False,False,False,False,False,True,False,False,False
,,,,,,,,,,,,,,,,,,,,69.0,145.0,68.0,70.0,155.0,73.0,1000.0,1000.0,28.0,32.0,False,False,True,False,False,False,False,False,True,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,4.25,1.33,0.95,0.95,0.0,424.76,58.77,75.29,100.0,88.89,,155.0,,74.0,170.0,,1000.0,971.8,30.0,37.0,True,False,False,False,False,False,False,False,True,False,False,False
6.85,0.5,5.01,0.0,0.0,703.2,58.57,79.31,66.67,100.0,2.53,1.54,0.0,2.71,0.0,2.71,48.28,58.54,0.0,0.0,70.0,135.0,71.0,69.0,125.0,,1058.0,1058.0,29.0,33.0,False,False,True,False,False,False,False,False,True,False,False,False
3.72,3.72,2.8,1.58,0.24,173.69,36.96,53.96,46.0,69.77,2.61,1.48,2.5,0.62,0.31,311.66,40.22,71.43,55.17,50.0,71.0,145.0,74.0,70.0,145.0,73.0,1077.21,1190.8,28.0,30.0,False,False,True,False,False,False,False,False,True,False,False,False
,,,,,,,,,,,,,,,,,,,,75.0,230.0,78.0,75.0,257.0,,1000.0,1000.0,28.0,33.0,False,False,True,False,False,False,False,False,True,False,False,False
4.0,3.41,1.1,0.0,0.74,37.9,30.02,68.9,60.0,100.0,1.53,1.07,3.0,0.0,0.0,501.0,47.92,74.6,75.0,100.0,71.0,155.0,76.0,68.0,145.0,66.0,1129.68,1051.88,30.0,32.0,False,False,True,False,False,False,False,False,True,False,False,False
2.22,0.86,1.08,1.08,0.0,657.78,63.27,68.42,100.0,50.0,8.47,4.07,0.0,2.0,0.0,0.0,54.98,54.14,0.0,33.33,70.0,205.0,75.0,75.0,185.0,71.0,1058.0,1077.02,29.0,31.0,False,False,False,False,True,False,False,False,True,False,False,False
5.18,3.86,0.54,0.41,0.0,86.52,42.25,63.59,66.67,91.43,3.33,2.04,2.18,1.17,0.0,146.04,55.19,63.83,46.43,80.0,72.0,185.0,73.0,72.0,185.0,73.0,1418.81,1477.63,26.0,40.0,False,False,True,False,False,False,False,False,False,False,True,False
3.87,3.0,2.48,0.6,0.1,127.86,38.24,67.53,34.72,83.33,5.55,6.02,0.62,0.8,0.71,52.44,43.81,57.9,21.21,80.43,68.0,135.0,68.0,66.0,135.0,65.0,1306.29,1207.27,36.0,35.0,False,False,True,False,False,False,False,False,True,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,3.16,2.54,1.31,1.31,0.22,109.74,52.54,58.37,40.0,76.0,71.0,185.0,78.0,72.0,185.0,79.0,1000.0,1037.5,28.0,31.0,False,False,False,False,False,True,False,False,True,False,False,False
3.53,3.53,0.94,0.0,0.0,26.97,37.02,64.92,33.33,100.0,3.92,2.78,1.52,0.54,0.18,111.12,41.96,68.78,37.78,81.82,68.0,125.0,65.0,65.0,135.0,66.0,1196.37,1222.66,28.0,37.0,False,False,True,False,False,False,False,False,True,False,False,False
4.02,2.75,1.48,1.48,0.67,143.37,38.8,65.81,42.31,71.05,3.25,1.74,3.4,2.83,2.27,276.97,37.89,72.29,42.86,58.33,66.0,125.0,69.0,67.0,125.0,70.0,1179.44,1187.39,23.0,23.0,False,False,True,False,False,False,False,False,True,False,False,False
3.1,1.6,4.53,0.39,1.38,558.07,54.76,39.9,52.27,85.71,9.6,0.6,9.0,0.0,0.0,594.0,59.26,75.0,100.0,100.0,73.0,205.0,77.0,72.0,170.0,73.0,1025.72,1058.0,28.0,35.0,False,False,True,False,False,False,False,False,True,False,False,False
4.74,4.42,0.0,0.0,0.0,4.74,50.0,62.16,0.0,100.0,2.6,1.47,4.0,0.0,2.0,581.0,58.21,48.84,80.0,100.0,73.0,205.0,74.0,74.0,205.0,79.0,1053.52,1064.36,31.0,28.0,False,False,True,False,False,False,False,False,True,False,False,False
3.93,4.27,0.0,8.0,0.0,20.0,50.43,51.15,0.0,52.94,2.7,2.5,3.0,0.0,1.0,345.5,39.32,48.63,54.55,100.0,75.0,205.0,76.0,74.0,205.0,79.0,1014.13,1120.55,30.0,29.0,False,False,True,False,False,False,False,False,True,False,False,False
6.27,5.54,0.0,0.0,0.0,5.08,38.54,60.0,0.0,100.0,5.58,4.43,0.0,3.82,1.53,123.06,47.92,45.11,0.0,52.38,67.0,135.0,70.0,69.0,135.0,70.0,1199.52,1056.99,28.0,35.0,False,False,True,False,False,False,False,False,False,False,False,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,5.53,3.83,0.0,0.0,0.0,0.0,25.49,62.5,0.0,100.0,70.0,145.0,70.0,69.0,145.0,,1000.0,948.67,23.0,25.0,False,False,True,False,False,False,False,False,True,False,False,False
3.23,2.64,0.19,1.12,0.37,49.17,59.92,60.45,75.0,76.32,3.32,3.59,0.76,1.41,0.22,75.19,50.66,53.76,38.89,69.77,74.0,185.0,77.0,72.0,185.0,79.0,1158.36,1189.25,45.0,36.0,False,False,False,False,True,False,False,False,True,False,False,False
2.14,3.23,4.71,0.94,0.0,307.54,35.14,61.35,62.5,55.56,4.05,2.68,0.86,3.21,0.21,88.39,46.75,63.35,47.06,59.46,69.0,170.0,72.0,74.0,170.0,75.0,1128.55,1155.69,29.0,33.0,False,False,True,False,False,False,False,False,True,False,False,False
3.78,1.83,2.11,0.3,1.21,357.47,48.45,57.08,31.82,87.5,3.77,3.29,2.77,1.11,1.29,333.67,38.57,53.06,37.5,70.0,71.0,170.0,73.0,69.0,170.0,77.0,1166.76,1137.89,21.0,23.0,False,False,True,False,False,False,False,False,True,False,False,False
3.08,2.57,0.77,0.0,0.0,110.09,37.04,74.23,14.29,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,70.0,155.0,74.0,66.0,155.0,,990.6,1000.0,34.0,29.0,False,False,True,False,False,False,False,False,True,False,False,False
5.03,5.35,1.06,0.91,1.21,86.77,43.19,58.91,21.21,76.92,4.18,1.45,2.1,1.3,0.9,300.33,50.89,69.13,32.81,51.85,66.0,135.0,65.0,67.0,135.0,71.0,1305.0,1321.16,32.0,29.0,False,False,True,False,False,False,False,False,True,False,False,False
4.3,3.16,1.9,0.38,1.52,256.49,43.48,55.04,71.43,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,66.0,135.0,69.0,66.0,135.0,71.0,1116.57,1000.0,27.0,28.0,False,False,True,False,False,False,False,False,False,False,False,True
2.07,2.65,2.75,0.79,0.39,513.67,46.47,55.51,43.75,77.78,2.58,1.66,2.76,0.31,0.31,562.54,62.69,48.08,50.0,50.0,68.0,155.0,73.0,69.0,155.0,70.0,969.12,1115.51,26.0,28.0,False,False,True,False,False,False,False,False,True,False,False,False
3.57,4.31,2.35,0.78,0.26,89.19,40.2,62.63,33.33,66.67,2.83,2.96,2.48,0.89,1.06,423.65,48.98,56.23,42.42,41.18,62.0,115.0,62.0,65.0,125.0,63.0,1010.62,1139.23,31.0,29.0,False,False,True,False,False,False,False,False,True,False,False,False
5.99,3.41,0.3,0.6,0.0,56.21,49.42,56.41,25.0,91.3,3.17,3.57,2.1,0.97,0.46,214.46,48.51,52.76,37.61,53.66,72.0,170.0,79.0,70.0,170.0,71.0,1316.21,1294.94,25.0,38.0,False,False,True,False,False,False,False,False,True,False,False,False
3.83,4.19,0.64,1.53,0.26,40.17,39.63,57.97,45.45,68.42,4.75,2.35,0.44,0.88,0.44,64.22,46.82,61.17,7.14,77.78,67.0,135.0,68.0,68.0,135.0,70.0,1117.6,1176.26,37.0,30.0,False,False,True,False,False,False,False,False,True,False,False,False
3.18,2.04,1.85,0.0,0.14,150.97,44.02,71.45,35.14,100.0,3.84,2.58,1.21,1.65,0.55,118.49,37.71,66.76,40.74,67.39,64.0,135.0,64.0,66.0,125.0,69.0,1219.1,1238.77,30.0,24.0,False,False,True,False,False,False,False,False,True,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,3.13,2.53,1.0,3.5,0.0,232.0,50.81,47.95,22.22,58.82,68.0,135.0,,65.0,125.0,67.0,1000.0,876.65,30.0,32.0,False,False,True,False,False,False,False,False,True,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,3.92,2.04,0.55,1.64,0.27,277.76,57.8,52.74,50.0,57.14,74.0,185.0,,73.0,185.0,73.0,1000.0,987.23,27.0,37.0,False,False,True,False,False,False,False,False,True,False,False,False
,,,,,,,,,,,,,,,,,,,,67.0,155.0,71.0,72.0,155.0,74.0,1000.0,1000.0,28.0,25.0,False,False,True,False,False,False,False,False,True,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,5.87,4.87,1.0,0.0,0.0,42.0,44.67,47.86,100.0,100.0,68.0,145.0,71.0,64.0,135.0,71.0,1000.0,1058.0,28.0,27.0,False,False,True,False,False,False,False,False,False,False,True,False
4.66,4.15,0.56,0.56,0.0,11.38,52.5,59.2,50.0,90.0,2.72,2.1,1.03,4.45,1.71,307.42,47.79,50.8,42.86,31.58,72.0,185.0,75.0,76.0,185.0,,1090.9,1001.52,32.0,,False,False,False,False,True,False,True,False,False,False,False,False
5.19,2.35,0.4,0.4,0.0,53.42,47.54,64.86,25.0,91.67,4.19,3.69,0.44,2.4,0.65,89.6,41.88,58.28,40.0,54.79,64.0,125.0,,65.0,125.0,66.0,1299.31,1260.79,28.0,31.0,True,False,False,False,False,False,False,False,True,False,False,False
3.47,4.06,0.29,0.43,0.0,36.92,29.7,62.74,20.0,92.68,3.34,3.46,0.8,1.03,0.0,57.23,40.78,62.11,29.17,84.48,67.0,135.0,69.0,63.0,135.0,66.0,1130.12,1199.36,32.0,32.0,False,False,True,False,False,False,False,False,True,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,3.13,3.4,0.0,2.0,0.0,4.0,42.34,37.8,0.0,33.33,73.0,155.0,75.0,71.0,155.0,73.0,1000.0,954.43,28.0,27.0,False,False,True,False,False,False,False,False,True,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,2.96,3.45,1.37,1.37,3.21,155.73,44.29,64.13,60.0,57.14,75.0,205.0,81.0,73.0,185.0,76.0,1000.0,1172.89,24.0,29.0,False,False,False,False,True,False,False,False,True,False,False,False
6.78,6.14,0.0,2.05,1.36,186.28,46.86,62.91,0.0,78.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,69.0,135.0,74.0,62.0,135.0,67.0,1095.51,1000.0,30.0,27.0,False,False,True,False,False,False,False,False,False,False,True,False
3.5,3.15,0.49,3.26,0.0,80.83,53.22,53.0,60.0,56.52,4.04,2.98,0.88,3.09,1.1,247.82,53.71,42.82,25.0,66.67,63.0,115.0,63.0,,125.0,,1021.43,1135.45,32.0,25.0,False,False,True,False,False,False,True,False,False,False,False,False
1.2,0.9,0.0,0.0,0.0,0.0,42.86,76.32,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,71.0,195.0,,76.0,197.0,,944.52,1000.0,,,False,False,False,False,True,False,False,False,False,False,True,False
