OUTCOME,METHOD,DATE,red_Name,blue_Name,red_StrikesLandedPerMin,red_StrikesAbsorbedPerMin,red_TakedownsPer15Min,red_OpponentTakedownsPer15Min,red_SubmissionsPer15Min,red_ControlPer15Min,red_StrikingAccuracyPct,red_StrikeDefencePct,red_TakedownAccuracyPct,red_TakedownDefencePct,blue_StrikesLandedPerMin,blue_StrikesAbsorbedPerMin,blue_TakedownsPer15Min,blue_OpponentTakedownsPer15Min,blue_SubmissionsPer15Min,blue_ControlPer15Min,blue_StrikingAccuracyPct,blue_StrikeDefencePct,blue_TakedownAccuracyPct,blue_TakedownDefencePct,red_Height,red_Weight,red_Reach,red_Stance,red_DOB,blue_Height,blue_Weight,blue_Reach,blue_Stance,blue_DOB,red_Elo,blue_Elo
Red,KO/TKO ,2025-05-03,Daniel Rodriguez,Santiago Ponzinibbio,7.53,5.37,0.22,1.76,0.11,28.61,49.76,58.0,33.33,57.89,4.8,4.61,0.56,0.77,0.0,45.46,41.46,61.67,32.0,71.05,73.0,170.0,74.0,Southpaw,1986-12-31,72.0,170.0,73.0,Orthodox,1986-09-26,1183.44,1180.07
Red,Decision - Unanimous ,2025-05-03,Montel Jackson,Daniel Marcos,3.26,1.38,3.38,2.92,0.31,365.04,56.18,63.41,68.75,68.85,6.02,4.56,0.74,0.25,0.0,89.11,55.29,59.62,50.0,91.67,70.0,135.0,75.0,Southpaw,1992-04-24,67.0,135.0,,Nan,1993-03-07,1276.1,1213.58
Blue,Decision - Unanimous ,2025-05-03,Cameron Smotherman,Serhiy Sidey,6.4,4.0,0.0,1.0,0.0,0.0,37.07,63.64,0.0,50.0,4.9,4.43,0.0,2.0,1.5,35.5,39.73,53.98,0.0,20.0,,135.0,,Nan,,,135.0,,Nan,1996-07-04,1060.04,1003.01
Red,Decision - Unanimous ,2025-05-03,Mason Jones,Jeremy Stephens,5.61,4.94,3.16,0.86,0.0,272.81,44.39,46.14,45.83,80.0,3.05,2.94,1.11,1.45,0.37,158.73,40.9,58.05,38.46,65.49,70.0,155.0,74.0,Orthodox,1995-04-26,69.0,145.0,71.0,Orthodox,1986-05-25,961.49,1021.88
Red,Decision - Unanimous ,2025-05-03,Yana Santos,Miesha Tate,4.67,3.42,0.0,1.67,0.0,124.0,62.31,51.42,0.0,28.57,3.06,3.09,1.43,1.51,0.95,280.56,47.07,52.83,26.47,57.78,,,,Nan,,66.0,135.0,65.0,Orthodox,1986-08-18,1006.75,1089.41
Red,KO/TKO ,2025-05-03,Azamat Bekoev,Ryan Loder,6.85,4.24,4.89,0.0,0.0,655.43,80.77,45.83,50.0,100.0,6.16,0.15,2.2,0.0,2.2,627.14,80.77,50.0,33.33,100.0,72.0,185.0,72.0,Orthodox,1995-12-30,,185.0,,Nan,1991-06-05,1067.59,1058.0
Red,KO/TKO ,2025-05-03,Gillian Robertson,Marina Rodriguez,2.89,2.95,2.68,0.81,0.98,429.3,48.9,56.55,39.76,41.18,4.54,3.05,0.21,1.72,0.21,50.98,46.01,55.79,42.86,62.5,65.0,125.0,63.0,Orthodox,1995-05-17,66.0,115.0,65.0,Orthodox,1987-04-29,1176.69,1068.24
Blue,Submission ,2025-05-03,Gaston Bolanos,Quang Le,3.74,2.57,0.78,3.12,0.0,143.83,50.88,52.17,100.0,42.86,3.02,5.52,1.7,0.0,0.0,142.82,35.71,45.93,23.08,100.0,,145.0,,Nan,1992-09-14,,135.0,,Nan,1991-10-18,1042.99,909.49
Red,Decision - Unanimous ,2025-05-03,Thomas Petersen,Don'Tale Mayes,4.61,4.28,1.81,0.0,0.0,106.63,59.3,58.36,33.33,100.0,2.93,3.55,0.74,1.37,0.0,123.66,41.3,47.73,46.67,43.48,,255.0,,Nan,1995-03-30,78.0,260.0,81.0,Orthodox,1992-01-16,973.09,915.83
Red,Decision - Unanimous ,2025-05-03,Juliana Miller,Ivana Petrovic,3.31,4.75,1.84,1.84,1.84,316.24,45.19,32.61,44.44,0.0,2.0,2.27,2.53,1.45,1.08,380.76,39.52,55.02,43.75,55.56,67.0,125.0,,Nan,1996-05-07,,125.0,,Nan,1994-06-11,934.01,934.49
Blue,Decision - Unanimous ,2025-04-26,Carlos Prates,Ian Machado Garry,4.3,4.8,0.54,0.0,0.0,37.36,55.87,48.85,100.0,100.0,2.33,1.89,0.82,0.55,1.09,167.18,49.61,46.39,42.86,80.0,,170.0,,Nan,1993-08-17,,,,Nan,,1267.44,1133.24
Red,KO/TKO ,2025-04-26,Zhang Mingyang,Anthony Smith,8.29,5.61,0.0,0.0,0.0,25.61,54.84,46.51,0.0,100.0,3.07,5.09,0.44,1.5,0.5,56.82,48.94,43.13,22.58,48.94,,,,Nan,,76.0,205.0,76.0,Orthodox,1988-07-26,1106.41,1090.81
Blue,Decision - Unanimous ,2025-04-26,Giga Chikadze,David Onama,4.02,3.43,0.26,0.9,0.26,24.44,41.07,62.86,40.0,75.0,5.6,5.07,0.73,3.3,0.55,150.31,50.11,52.13,20.0,52.63,72.0,145.0,74.0,Orthodox,1988-08-25,71.0,155.0,74.0,Orthodox,1994-06-07,1207.83,1164.4
Red,Decision - Unanimous ,2025-04-26,Abus Magomedov,Michel Pereira,2.65,3.35,3.12,0.0,0.28,271.45,44.03,55.97,64.71,100.0,4.45,4.23,1.27,1.27,0.81,72.13,53.76,52.79,52.38,76.6,74.0,185.0,,Nan,1990-09-02,73.0,170.0,73.0,Orthodox,1993-10-06,1129.36,1277.5
Blue,KO/TKO ,2025-04-26,Nicolas Dalby,Randy Brown,4.06,3.52,1.01,1.95,0.08,191.4,43.98,52.47,27.91,58.93,4.35,3.24,0.81,1.18,0.59,150.8,47.42,54.27,39.29,73.33,71.0,170.0,74.0,Orthodox,1984-11-16,75.0,170.0,78.0,Orthodox,1990-07-08,1192.74,1282.43
Blue,KO/TKO ,2025-04-26,Andre Muniz,Ikram Aliskerov,1.76,2.06,4.56,1.14,1.33,349.25,46.49,54.34,54.55,33.33,6.28,7.78,0.0,0.0,0.0,0.0,52.08,36.73,0.0,100.0,73.0,185.0,78.0,Southpaw,1990-02-17,72.0,185.0,,Nan,1992-12-07,1208.43,1058.09
Blue,Decision - Unanimous ,2025-04-26,Jimmy Flick,Matt Schnell,1.9,6.99,1.28,1.28,2.98,113.41,45.89,41.15,15.0,0.0,4.39,4.64,0.56,1.13,0.99,37.21,39.48,55.54,40.0,50.0,67.0,125.0,68.0,Orthodox,1990-09-07,68.0,125.0,70.0,Orthodox,1990-01-15,946.9,957.69
Red,Decision - Unanimous ,2025-04-26,Evan Elder,Gauge Young,5.02,4.79,0.63,1.9,0.63,103.48,49.28,57.96,20.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,69.0,155.0,,Nan,1997-04-11,,170.0,,Nan,2000-07-14,998.69,1000.0
Blue,Decision - Split ,2025-04-26,John Castaneda,Chris Gutierrez,4.93,5.8,1.75,0.7,0.17,134.56,50.96,52.44,37.04,73.33,4.72,2.64,0.26,1.3,0.09,39.66,59.1,64.46,30.0,71.7,66.0,135.0,71.0,Switch,1991-12-18,69.0,145.0,67.0,Orthodox,1991-04-22,1083.15,1231.09
Red,Decision - Unanimous ,2025-04-26,Da'Mon Blackshear,Alatengheili,3.93,4.17,1.89,1.68,1.89,245.84,46.14,47.63,36.0,70.37,4.65,8.23,3.5,0.75,0.0,252.0,32.86,57.99,45.16,75.0,,145.0,,Nan,1994-08-12,65.0,135.0,66.0,Orthodox,1991-12-14,1113.79,1144.87
Blue,KO/TKO ,2025-04-26,Cameron Saaiman,Malcolm Wellmaker,5.54,4.48,0.85,2.56,0.57,232.96,48.67,50.21,27.27,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,,135.0,,Nan,,,135.0,,Nan,1994-06-04,1018.02,1000.0
